Term_EN,Term_ES,Definition
Professional Centres Canada LP,Professional Centres Canada LP,
Projects Wiki,,
Projects Wiki Glossary,,
Property Management,Administración de Propiedades,
Property Management Fees,,
Proxy Developer,,
Prototype,Prototipo,
Private SPV,,
Public Oversight,,
Public Float,Flotante Público,
Qualified Investment,Qualified Investment,
Real Economy,,
Real Estate,,
Real Estate Agents,,
Real Estate Community,,
Real Estate Investment Trust(s) or REITs,,
Real Property,,
Record Keeping,Mantenimiento de Registros,
Referral Fees,,
Regional Markets,Mercados Regionales,
Registered Dealers,Distribuidores Registrados,
Registered Investment Advisors,,
Regulated Reporting Entities,Entidades de Información Reguladas,
Regulatory Filings,,
Regulatory Releases,,
REITs,Fideicomisos de Inversión en Bienes Raíces (FIBRAs),
Reporting Issuer,Entidades de Información Reguladas,
Retail Select,Retail Select,
Revenues,,
Right of First Refusal,Derecho de Preferencia,
Retained Equity,,
Self-Similar Governance,,
Secretary Pool,,
Securities,,
Securities Commission,Comisión de Valores,
Securities Regulator,,
Service Providers,,
Set-of-Five Emails,,
Share Capital or Unit Capital,,
Share-based Executive Compensation,,
Equity-Based Compensation,,
Shares,Acciones,
Socratic Dialogue,,
Special Purpose Vehicle or (SPV),Special Purpose Vehicle,
Stakeholder(s),,
Strategic Partnerships,Alianzas Estratégicas,
Suburban Office,Suburban Office,
Supervisory Board,,
System for Electronic Document Analysis and Retrieval or SEDAR,,
Tear Sheet,,
Tear Sheet – Alternative Real Estate,Gráfico de Bienes Raíces Alternativos,
Tear Sheet – Management Team,,
Tear Sheet – Org Chart,,
Tear Sheet – Partnerships,,
Tear Sheet – Qualified Investments,,
Tear Sheet – WCP,,
Tech Community,,
Tech Industrial,Tech Industrial,
Terminus Capitalization Rate,,
Topics,,
Total Expense Ratio,,
Track Record,,
Traders,,
Trust Units,UNIDADES DE FIDEICOMISO,
Unit Capital,,
Unit Capitalization or Share Capitalization,,
Unit-based Management Compensation,,
Use Case,Caso de Uso,
Value Add,Value Add,
Venture Capital,,
Vertical Warehouses,Vertical Warehouses,
Warehouse Clubs,,
WCP,WCP,
WCP Common Shares,,
WCP Investor Presentation,,
WCP Shareholders Agreement,,
Whitepaper,,
Whitepaper Discovery Process,,
Wholesale Club,,
WOODFINE BUILDINGS,EDIFICIOS WOODFINE,
Woodfine Capital Projects Inc.,Woodfine Capital Projects Inc.,
Woodfine Group,El Grupo Woodfine,
Woodfine Direct-Hold Solutions,Woodfine Direct-Hold Solutions,
Woodfine LP Investor Presentation,,
Woodfine LPs,,
Woodfine or the Firm,,
Woodfine Professional Centres Limited Partnership (Canada),Woodfine Professional Centres Limited Partnership (Canada),
Woodfine Professional Centres,,
Access Funds,,
Oversight Committees,,
Human-Centre Wellness,,
Leverage Cycle,,
Universal Governing Bylaws,,
Institutional-Grade Woodfine Buildings,,
Administrator,,
Know Your Client (KYC),KYC,Banking compliance requirement.
Custodial Control,Control de Custodia,Flexibility for investors to hold allocations in standard brokerage accounts.
Jurisdictional Diversification,Diversificación Jurisdiccional,Utilizing external SPVs or Club Deals to optimize tax treaties.
Legacy Cash Flow,Flujo de Caja Legado,The primary yield generated from stabilized assets and Organic Deleveraging.
Environmental Performance,Rendimiento Ambiental,Baseline criteria for energy efficiency and carbon footprint reduction.
Jurisdictional Framework,Marco Jurisdiccional,Replaces 'Architecture' to avoid double-meaning with physical real estate.
Domestic Investor Alignment,Alineación de Inversores Nacionales,Structuring vehicle for domestic residents to protect profit margins.
Qualified Private Capital,Capital Privado Calificado,Global bridge term for Accredited or Professional investors.
Preserved Fees,Comisiones Preservadas,Cash management fees available to asset managers due to equity carry.
Organic Deleveraging,Desapalancamiento Orgánico,Debt reduction driven by income cash flow.
HISTORY,HISTORIA,Header reference for the History section of the narrative.
FINANCIAL MODEL,MODELO FINANCIERO,Header reference for the economic structure.
INVESTMENT STRATEGY,ESTRATEGIA DE INVERSIÓN,Header reference for the deployment logic.
ALTERNATIVE INVESTING,INVERSIÓN ALTERNATIVA,Header reference for the asset class context.
DIRECT-HOLD SOLUTIONS,SOLUCIONES DE TENENCIA DIRECTA,Header reference for the investment platform and vehicles.
STRATEGIC PARTNERSHIPS,ALIANZAS ESTRATÉGICAS,Header reference for the tripartite management structure.
WOODFINE CAPITAL PROJECTS,WOODFINE CAPITAL PROJECTS INC.,Header reference for the Parent Company section.
CONCLUSION,CONCLUSIÓN,Header reference for the final summary.
GLOBAL INVESTMENT TERMINOLOGY,TERMINOLOGÍA DE INVERSIÓN GLOBAL,[Updated] Header reference for the cross-border nomenclature reading guide.
GLOSSARY,GLOSARIO,Header reference for the definition ledger.
Woodfine Management Corp.,Woodfine Management Corp.,"The Principal Manager executing the Direct-Hold Solutions."
Promoter,Promotor,Statutory reference to Woodfine Capital Projects Inc. for BCSC compliance.
Principal Manager,Gerente Principal,Operational term for Woodfine Management Corp.
Professional Centres Canada LP,Professional Centres Canada LP,The operational designation for reporting and presentations (Tier 2).
Canada LP,Canada LP,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 2 Limited Partnership,Woodfine Professional Centres 2 Limited Partnership,The formal statutory entity for the United States jurisdiction (Tier 1).
Professional Centres United States LP,Professional Centres United States LP,The operational designation for reporting and presentations (Tier 2).
United States LP,United States LP,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,Woodfine Professional Centres 3 Sociedad Anónima Cotizada de Inversión Inmobiliaria,The formal statutory entity for the Spanish jurisdiction (Tier 1).
Professional Centres Spain SOCIMI,Professional Centres Spain SOCIMI,The operational designation for reporting and presentations (Tier 2).
Spain SOCIMI,Spain SOCIMI,The analytical designation for financial modeling (Tier 3).
Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,Woodfine Professional Centres 4 Fideicomiso de Infraestructura en Bienes Raíces,The formal statutory entity for the Mexican jurisdiction (Tier 1).
Professional Centres Mexico FIBRA,Professional Centres Mexico FIBRA,The operational designation for reporting and presentations (Tier 2).
Mexico FIBRA,Mexico FIBRA,The analytical designation for financial modeling (Tier 3).
10% Ownership,10% propiedad,The specific equity stake retained by the Parent Company.
100% Beneficial Ownership,100% de propiedad benficiosa de bienes inmubles,Indicates full ownership control of the underlying real estate assets.
Investors,Inversores,Universal term for participants in a Direct-Hold Solution; act as 'proxy developers'.
Advisor,ASESORES DE INVERSIÓN AUTORIZADOS,The entity proposing Qualified Investments to the General Partner.
Asset Managers,Gestores de Activos,Third-party entities responsible for managing the assets in the tripartite structure.
Registered Dealers,Distribuidores Registrados,Authorized agents permitted to sell the securities.
Macquarie Capital,Macquarie Capital,Investment banker that suggested the 90-10 split structure.
PwC,PwC,Auditor that established initial terms and prospectus.
Deloitte,Deloitte,Auditor that verified the financial modeling.
NYSE American,NYSE American,The target exchange for the Parent Company listing.
Canada,Canadá,Target market for Transaction #1.
US,Estados Unidos (EE. UU.),Target market for Transaction #2.
Spain,España,Target market for Transaction #3.
Mexico,México,Target market for Transaction #4.
North America,Norteamérica,Context for Walmart’s expansion studies.
Western Canada,Western Canada,Location of Peter’s early work with National Retailers.
New York,New York,Location of the management company’s small office.
Institutional-Grade Regional Real Estate,Bienes Raíces Regionales de Grado Institucional,Real estate designation for the highest quality buildings.
Governance Structure,Estructura de Gobernanza,Governing contract; mandates 3:1 parking.
SOCIMI,SOCIMI,Flow-through corporate vehicle used for Direct-Hold Solutions in Spain.
FIBRA,FIBRA,Flow-through trust vehicle used for Direct-Hold Solutions in Mexico.
Joint Venture,Empresa Conjunta,Historical structure used by Peter.
Net Asset Value (NAV),Net Asset Value,Underlying asset value.
Distributable Income,Ingresos Distribuibles,Basis for the 10% buyback.
Regulated Reporting Entity,Entidad Pública Regulada,Bridge term encompassing 'Public Non-Listed' status; indicates public oversight.
Ongoing Reporting Requirements,Requisitos de Informes Continuos,Filing obligations.
Cyclical Funding Model,Modelo de Financiamiento Cíclico,Cyclical funding model (stabilize -> issue debt -> build next).
Transaction #1,Transaction #1,Funding round for Canada.
Transaction #2,Transaction #2,Funding round for US.
Transaction #3,Transaction #3,Funding round for Spain.
Transaction #4,Transaction #4,Funding round for Mexico.
Transaction Summary,RESUMEN DE LA TRANSACCIÓN,Proposal document for Qualified Investments.
Traditional REITs,Fideicomisos de Inversión Tradicionales,Comparative asset class.
International Real Estate,Inversión Inmobiliaria Internacional,The broader market context for the investment.
Financial Forecast,Pronóstico Financiero,Forward-looking financial modeling/projections.
Debt to Asset,Deuda a activos,Financial leverage ratio.
Listed,Cotizada (Listed),Admission to trading on an exchange.
Exchange-Traded,Negociada en Bolsa,Active buying/selling.
Registered,Inscrita (Registered),Registration with Securities Commission.
CBFI,CBFI (Certificado Bursátil),Specific equity trust certificate for a Mexican FIBRA.
Certificate,Título / Certificado,Evidence of ownership.
Holder,Tenedor / Titular,Owner of the Unit/Share.
Common Equity,Capital Ordinario,Standard class of equity (1:1 alignment).
Universal Governing Documents,Documentos de Gobierno Universales,"Core contracts (LPA, Bylaws, Trust Deed) containing proprietary investor protections."
Independent Oversight Committee,Comité de Supervisión Independiente,"Discrete, jurisdiction-specific fiduciary body overseeing the Principal Manager; each Direct-Hold Solution has its own (no global committee)."
Separation of Debt and Equity,Separación de Deuda y Capital,Plain language for distinct treatment of public debt and private equity.
Structural Reserve,Reserva Estructural,Financial buffer created by Retained Equity.
Loan-to-Value,Relación Préstamo a Valor,The debt-to-asset ratio (plain-language standard).
Over-The-Counter (OTC),Mercado Extrabursátil (OTC),Trading logic for unlisted North American and Mexican equity.
Electronic Matching,Emparejamiento Electrónico,Trading logic for listed Spanish equity.
Transfer Certificate,Certificado de Transferencia,Transfer guard mechanism for unlisted equity.
Admission Protocol,Protocolo de Admisión,Transfer guard mechanism for Spanish SOCIMI shares.
Exchange-Qualified,Calificado para Bolsa,Meeting exchange standards without triggering nomenclature fractures.
Securities-Registered,Inscrita en el Registro de Valores,Bridge term for national securities registries.
General Partner or Administrator,Socio Colectivo o Administrador,Specific legal signatories subject to Strategic Minimization.
Central Securities Depository,Depósito Central de Valores,"National ledger for securities (CDS, DTC, Indeval, Iberclear)."
Real Estate Investment Trust,A legal structure that allows for real estate development while maintaining tax transparency.,Fideicomiso de Inversión en Bienes Raíces FIBRA
Certificados Bursátiles Fiduciarios Inmobiliarios,Equity trust certificates issued by a Mexican FIBRA.,Certificados Bursátiles Fiduciarios Inmobiliarios
National Securities Registry,An official registry for securities, such as the RNV in Mexico.,Registro Nacional de Valores (RNV)
Indeval,The central securities depositary in Mexico.,Indeval
Transfer of Ownership Certificate,A certificate that initiates the transfer of ownership, signed by both buyer and seller.,Certificado de Transferencia
Public Non-Traded,A classification for equity that is public but not actively traded on an exchange.,
Regulated Issuer,An entity that files papers with a government regulatory body.,Emisor Regulado
Regulated Reporting Entity,An entity that files papers with a government regulatory body, true in Canada, US, Spain, and Mexico.,Entidad Pública Regulada
Financing Short Fall,A structural gap where the commercial banking system does not adequately service construction needs in regional markets.,
Equity-Based Compensation,Compensation taken as an equity stake rather than cash.,Compensación Basada en Acciones
Proxy Developers,Investors who capture developer profit margins and unleveraged yields.,Inversores Proxy / Desarrolladores Proxy
Gross Funded Value,The total value of capital raised and deployed.,Valor Financiado Bruto
Issue Cost,A charge applied to recapture the origination expense.,Costo de Emisión
Cost-Plus reality,A financial framework where the platform operates on cost plus a fixed fee, avoiding speculative value-add models.,Realidad de Costo Más Margen
Narrow Banking,A model where institutions finance procurement and development through public, non-traded investment units and exchange-traded debentures, building initial assets with zero debt.,Banca Estrecha
Retained Equity,Developer profit that is not extracted as cash and remains on the investment vehicle's balance sheet, acting as a structural reserve.,Capital Retenido
Leverage Cycle,The period during which the debt to equity ratio is increased to fund development.,Ciclo de Apalancamiento
Multi-Generational Capital,Capital managed with long-term preservation and growth objectives for successive generations.,Capital Multigeneracional
Management Phase,The period following the Leverage Cycle, where assets are managed and debt is systematically redeemed.,Fase de Gestión
Right of First Refusal,The right to purchase the self-issued First Secured Mortgage Debentures before they are offered to other parties.,Derecho de Preferencia
Public Float,The portion of a company's shares that are publicly available for trading.,Capital Flotante
Offering Costs,Costs associated with the issuance of securities.,Costos de Oferta
Equity-Based Compensation (Parent Company),Revenue generated by the Parent Company from the investment units it holds across Direct-Hold Solutions.,Compensación Basada en Acciones (Empresa Matriz)
Public Float (Shares),The portion of the Parent Company's shares available for public trading, amounting to 21% or 10.0 million shares outstanding.,Flotación Pública (Acciones)
Institutional Retail Halo,The effect of transposing retail resilience onto professional office space by positioning institutional-grade buildings adjacent to thriving power centres.,El Halo Minorista Institucional
Co-Location Blueprint,A strategy to validate regional economic strength by co-locating development sites on or adjacent to existing power centres, following the demographic research of national retailers.,El Plan de Coubicación
Flight to Quality,A market trend where demand shifts towards premium, well-located, and amenitized properties.,Fuga hacia la Calidad
Professional Brain Drain,The migration of professionals from regional markets to metropolitan areas.,Fuga de Cerebros Profesional
Special Purpose Vehicles (SPVs),External vehicles established by foreign investors to tailor and optimize tax treaties and integrate capital into Direct-Hold Solutions.,Vehículos de Propósito Especial (SPVs)
Club Deals,External vehicles established by foreign investors to tailor and optimize tax treaties and integrate capital into Direct-Hold Solutions.,Club Deals
Access Funds,Funds that provide international multi-generational capital with exposure to real estate through jurisdictional diversification.,Fondos de Acceso
Arbitrage Advantage,A pricing advantage for property investors in specific markets compared to others, supported by data.,Ventaja de Arbitraje
Flow-Through Taxation,A tax mechanism where income and losses are passed directly to investors and taxed at their individual rates, avoiding corporate-level taxation.,Tributación de Flujo Directo
Build-and-Hold Asset,A property developed with the intention of being leased and held for the long term, rather than immediately sold.,Activo para Construir y Mantener
Direct Real Estate Exposure,Direct investment in physical real estate assets, bypassing indirect investment vehicles.,Exposición Directa a Bienes Raíces
Investment Units,Public, non-traded units issued by Direct-Hold Solutions to finance procurement and development.,Unidades de Inversión
Club Deal Templates,Templates for external investment vehicles used by non-resident asset managers and investors for direct cross-border investing.,Plantillas de Club Deal
Private SPV Templates,Templates for external investment vehicles used by non-resident asset managers and investors for direct cross-border investing.,Plantillas de SPV Privados
Human-Centric Wellness,Certifications ensuring building standards focused on human health and well-being.,Bienestar Centrado en el Humano
Circular Economy,An economic model designed to minimize waste and maximize resource efficiency, adhered to by intentionally under-building net leasable square footage relative to market demand.,Economía Circular
Offset Pulled Back Core,A building core design providing a continuous corridor with a direct line of sight to elevator lobbies, enhancing security and occupational efficiency.,Núcleo Retraído Desplazado
Development Cycle,The period encompassing the initial construction, leverage, and stabilization of assets.,Ciclo de Desarrollo
Debt-to-Asset Value,The ratio of total debt to the total value of assets, which peaks at 63% during the Leverage Cycle.,Valor de Deuda a Activos
Flow-through corporate vehicle,A corporate entity where income is passed directly to investors without being taxed at the corporate level.,Vehículo Corporativo de Flujo Directo
Flow-through trust vehicle,A trust entity where income is passed directly to investors without being taxed at the trust level.,Vehículo Fiduciario de Flujo Directo
Public Non-Listed,A status for an entity that is publicly accountable but whose securities are not listed on an exchange.,
Reporting Issuer,A term under the Canadian Securities Act for an entity with filing obligations, which has no direct translation in Spanish.,
Public Non-Traded REIT,A real estate investment trust that is public but whose shares are not actively traded on an exchange.,
Entidad Pública,A public entity in Spain, equivalent to a Regulated Reporting Entity.,Entidad Pública
Emisora (Unlisted),An unlisted issuer in Mexico, referring to a regulated reporting entity.,Emisora (No Cotizada)
Sede Electrónica (CNMV),The electronic headquarters for the Spanish National Securities Market Commission (CNMV), serving as a regulatory filing portal.,Sede Electrónica (CNMV)
STIV-2 (CNBV),A regulatory filing portal for the Mexican National Banking and Securities Commission (CNBV).,STIV-2 (CNBV)
Sociedad Cotizada (Listed - Statutory),A listed company in Spain, where tax-exempt status is legally tied to being listed on an exchange, implying both public and traded status.,Sociedad Cotizada (Listada - Estatutaria)
No Negociada,Not traded on an open exchange, typically referring to unlisted equity in Mexico.,No Negociada
OTC (Reference Value),Over-The-Counter trading where transfers occur via broker-to-broker settlement based on a reference value.,Mercado Extrabursátil (Valor de Referencia)
Investment Professionals,Authorized recipients and investment professionals to whom confidential briefings are restricted.,Profesionales de Inversión
Authorized Recipients,Individuals permitted to receive confidential briefings.,Receptores Autorizados
Private Placement Exemptions,Legal provisions that allow the sale of securities without formal registration with regulatory authorities.,Exenciones de Colocación Privada
Accredited Investors,Investors meeting wealth thresholds or professional qualifications, eligible for private offerings.,Inversores Acreditados
Forward-Looking Information,Statements about future financial performance, yields, or operational models based on economic assumptions.,Información Prospectiva
Systemic Risks,Risks inherent to a system or market, such as reliance on proprietary Information Technology.,Riesgos Sistémicos
CIRO 2026 cybersecurity standards,Cybersecurity standards for Information Technology, relevant for systemic risk assessment.,Estándares de ciberseguridad CIRO 2026
Cash Management Fees,Fees available to asset managers due to equity carry.,Comisiones de Gestión de Efectivo
Equity Carry,A financial mechanism that makes cash management fees available to asset managers.,Equity Carry
Tripartite Management Structure,A management structure involving three parties: the developer managing development and construction, compliance management, and a banking syndicate of asset managers.,Estructura de Gestión Tripartita
Three-legged stool (management),A descriptive term for the tripartite management structure, emphasizing its three core components.,Taburete de tres patas (gestión)
Banking Syndicate,A group of independent asset managers forming a network to facilitate capital origination.,Sindicato Bancario
Non-Compete Agreements,Agreements that restrict individuals from engaging in competing business activities.,Acuerdos de No Competencia
Arm’s-Length Distance,A relationship where parties act independently and are not influenced by personal connections or conflicts of interest.,Distancia de Plena Competencia
Asset Sale Required for Exit,Requires the sale of an asset to liquidate an investment.,Venta de Activos para Salida
Capitalized Interest Permitted,Allows interest costs to be added to the principal balance rather than expensed immediately.,Intereses Capitalizados
Portfolio Diversification,Spreading investments across different assets to reduce risk.,Diversificación de Cartera
Primary Balance Sheet Asset,The main type of asset recorded on a company's financial statement.,Activo Principal en Balance
Eligible as Collateral,Qualifies to be pledged as security for a loan.,Elegible como Garantía
Public Registry Access (EDGAR/SEDAR+),Ability to access official government databases for company filings and disclosures.,Acceso a Registros Públicos
Comprehensive Regulated Reporting,Adherence to regulatory standards for financial disclosures and reporting.,Reporte Regulado Completo
Equity-Based Developer Compensation,Developer compensation structured as an equity stake rather than cash.,Compensación en Acciones
Single Fixed Management Fee,A single, unchanging annual charge for management services, not tied to asset value fluctuations.,Tarifa de Gestión Única
Debt Right of First Refusal,The right to purchase or assume debt before it is offered to other parties.,Derecho de Preferencia en Deuda
Regulatory Filing Portal,An online system for submitting and accessing official government filings and disclosures.,Portal de Presentación Regulatoria
Global Security Identifier,A code for identifying securities across international markets.,Identificador Global de Valores
Co-Location Mandate,A strict Qualified Investment requirement targeting regional markets to procure and develop professional office buildings directly adjacent to major national retailers.,Mandato de Coubicación
Direct-Hold Solutions (Enterprise),The foundational operating entities and enterprises that own the assets, explicitly structured as Regulated Reporting Entities rather than investment funds.,Soluciones de Tenencia Directa (Empresa)
Woodfine Management Corp. (Administrator),The entity that administers the Direct-Hold Solutions through dedicated subsidiaries, strictly separated from the asset-owning enterprise itself.,Woodfine Management Corp. (Administrador)
Freely Transferable,The statutory state of Investment Units allowing direct custodial control without redemption queues, avoiding subjective claims of market liquidity.,Libremente Transferible
Net Asset Value (NAV) Fees,Fees typically charged by layered funds, which are bypassed at the Direct-Hold enterprise level to allow independent Asset Managers to apply their own fee models.,Comisiones sobre el Valor Liquidativo (NAV)
Regional Market Shortfall,The structural lack of institutional-grade construction in regional markets despite their stable demographic demand for essential services.,Déficit del Mercado Regional
Investment Funds,Layered pooled capital structures that Direct-Hold Solutions explicitly bypass to eliminate structural bloat and redundant fees.,Fondos de Inversión
real property developer,,An entity that procures, develops, and manages real property assets on behalf of investors.
Private Placement Memorandum,,A formal disclosure document outlining the terms, risks, and legal framework of a private securities offering.
